31. C4a. Si oui, lesquelles ?
"Une pratique plus reguliere et mieux cadree du teletravail
Moins de reunions en presentiels (souvent trop longue et avec trop de participants) 
Plus de reunion plus resserree en vision et de confcall breves en se tenant a l'ordre du jour et aux principes de prises de paroles avec un CR pour l'information de ceux qui n'y ont pas participe."
visio et teleconferences
Le teletravail
Audioconference
Organisation des reunions (Audio/visio) + OJ et CR de la reunion en ligne sur document partage.
"Conserver une partie du temps de travail en teletravail
Reunion en visio plutot que deplacements"
Le teletravail pas total mais partiel peut etre une solution dans la duree pour certains personnels (habitant loin notamment).
"rituel collectif
echanges transversaux
bienveillance RH"


Un developpement du teletravail dans les bureaux de gestion
Periode de teletravail d'un ou deux jours par semaine des lors qu'il s'agit d'un travail sur des dossiers de fond (amelioration de la concentration, absence de perturbations, rentabilite du temps de travail sans les transports)

La crise a permis de reveler des possibilites jusque la insoupconnee en raison des problemes techniques qui etaient opposes au teletravail, en particulier en matiere de securite informatique. Les solutions trouvees dans l'urgence seront durablement applicables mais le teletravail ne devra pas depasser 2 jours par semaine.
Poursuivre la mise en place du teletravail parmi les agents du Departement, qui heureusement concernaient deja la moitie de l'equipe.,Si bien que ces agents ont pu continuer leurs activites sans trop de difficultes et le Departement a pu lui rempir ses missions, contrairement a d'autres qui refusaient le teletravail pour leurs agents.
Un peu plus de tele-travail que d'habitude, et maintien du mail hebdomadaire de partage avec les agents de la sous-direction.
capacite de travail a distance en fonction de l'evolution de la reglementation applicable aux agents publics (pas prevues pour l'instant pour les agents publics a l'etranger).
?- Le teletravail etait deja largement utilise. Cela confirme que c'est efficace.
nous pratiquions deja le travail a distance avant le confinement. Nous avions donc deja mis en place les pratiques que nous avons adoptees lors du confinement.
"Outil collaboratif OSmose.
Recours au travail a distance."
Teletravail un jour par semaine pour les demandeurs (celibataire geographique pouvant ainsi beneficier d'une absence physique le lundi ou le vendredi)


"Pratique de la visioconference et des webinars
Portaleo si maintenu pour les ADL essentiels"

le travail a distance pourrait etre encourage.
Plus de souplesse sur les demandes de teletravail car certains agents ont su parfaitement s'adapter.


"Le teletravail, tout particulierement dans une region comme l'IdF o une part tres significative des agents vient en transports en commun, avec en moyenne des temps de transports tres longs.

L'audio conference, qui s'est litteralement democratisee pendant la crise et qui demeurera un outil utilise largement (idem : fort eclatement des services de l'Etat a Paris, economie considerable de temps de transport pour tous en cas d'audioconference)"
"messagerie instantanee 
usage du teletravail"
"?- certaines pratiques de management

- la preparation permanente au teletravail en cas de besoin"
"Pas acces messagerie Nomade pas tres interessant.
Poste NoeMI tres interessant"



Visio et audioconference
postes portables
Le teletravail par Span

Les audio conferences pour des reunion de moins d'une heure sont hyper pratiques
Souhait que le teletravail puisse etre utilise plus regulierement et systematiquement quand les necessites de service le permettent





redaction a domicile de notes, rapports, syntheses ne demandant pas de presence au service. E-formations

Possibilite de teletravail a poursuivre en partie, selon les possibilites et necessites de service, bien que cela ne soit pas dans la culture POLICE : des efforts a faire dans ce sens.
Un retour d'experience sur le teletravail (missions et moyens) sera effectue afin de faire durablement evoluer la charte locale de teletravail  et orienter les choix materiels (extension du parc de smartphones et remplacement des ordinateurs exclusivement par des portables).
"Audioconferences et visioconferences
Utilisation plus intensive de Whatsapp qui s'est revele tres pratique pour coordonner services de l'Etat en IDF"

Teletravail plus importants si les outils sont deployes efficacement.

L'audioconference, par la force des choses... Et le reste dans la mesure o nous n'en sommes pas a un retour a la normale.
Teletravail des agents gestionnaires du budget puisque chorus est accessible avec Carinae alors qu'on nous avait toujours dit que la gestion de chorus en teletravail etait impossible
Usage plus large de la visio et du teletravail
Favoriser le teletravail, maintenir la lettre d'information
Visio-conferences, avec mesure.


"Audio conference
Teletravail"


"Apres le 11 mai, 2/3 des agents restent en teletravail, donc meme focntionnement.
Sinon, apres retour complet a la normal : 
Conservation des fils de ""Discussion"" sous Melanie (equipe managerial + tout agent)
Utilisation ""document"" sous Melanie, si maitrise complete de l'outil"
Augmentation du teletravail, visio conferences

"Audioconference
Diffusion large mais mieux pilotee des outils de teletravail"

"Indubitablement il y a une demande de la part des agents. 
Les fonctions supports sont celles qui dans un premier temps vont pouvoir beneficier d'une extension du travail a distance, dans la mesure o l'activite de l'agent est mesurable, programmable et aisement controlable."

Extension du teletravail probablement pour certains agents
Teletravail et reunion audio
Visio conferences
Possibilite d'etendre le champ du teletravail, sur demande des agents.


"Encourager le teletravail, au dela du travail a distance de crise, pour les agents qui le souhaitent.

La conf call est un outil efficace et permet de limiter les deplacements - sachant qu'elle est cependant deja dans la culture d'un ministere pilotant un reseau mondial et dont l'administration centrale est en outre repartie sur plusieurs sites (Paris et Nantes)"

visio
travail a distance. Visio conferences.
Une journee de teletravail hebdomadaire
La mise en place d'outils (carinae) et l'experimentation du teletravail pour une large part des agnets aura necessairement eds consequences sur les pratique des agents. Par ailleurs, le developpement des audioconferences permettront sans doute ed reduire les deplacements en dehors du departement.

Teletravail pour l'essentiel
"Le teletravail qui etait deja pratique
Les audio-conferences avec les directions regionales"
Le teletravail a fait ses preuves, le travail a ete fourni, les resultats sont tangibles. La confiance partagee s'instaure et la responsabilite individuelle se developpe grace a ces pratiques.
"?- le type de management installe
- au moins jusqu'a la fin de l'annee 2020, necessite de conserver une densite affaiblie dans les locaux pour que la distanciation sociale soit possible- donc le travail a domicile va etre largement et mieux organise. Initialement 20% de teletravailleurs, objectif d'equiper en portable avec VPN 80% des agents le plus vite possible."


unites ponctuellement en telet travail


pratiques du teletravail : il faut donc que les acces mis en place lors du confinement (VPN elargi, etc), soient conserves au dela de la periode de crise
un leger teletravail supplementaire (sans exces car plus improductif collectivement qu'en presentiel selon moi et mes cadres)  avec webconference et laison CARINAE utilisees, alors que cela ne l'etait pas avant le confinement

Deploiement du teletravail


"Pour que tous soient ""organises pour le teletravail"", je vais generaliser 1 jour de teletravail par semaine."
"reunion skype
davantage de teletravail"
audio et visio conferences a developper

audio conference, visio, espace serveur partage, augmentation nbr agents en teletravail
Participation en audio a certaines reunions techniques regionales
"CONF TELEPHONIIQUES
TELETRAVAIL"


Travail a distance des lors que les equipements sont disponibles.


NoeMI
"Utilisation du reseau collaboratif de la  DGAFP, notamment pour les relations avec les partenaires.
Audio ou video conferences"
augmentation de la proportion de teletravail
Davantage de tele-travail et des audios - conferences.
visioconference regle mise en place dans les services
Recours en tant que de besoin a audio et video conference, groupe whatsapp, partage de fichiers
Le maintien et developpement d'outils tels qu'OSMOSE

Noemi, audio conferences

"Dematerialisation des validations pour limiter l'utilisation des dossiers papiers
Teletravail partiel a evoquer avec l'equipe, en particulier pour ceux qui habitent loin, et en fonction des dotations informatiques complementaires"
la visio conference ainsi que les moyens mails et telephoniques.



Lancement d'un projet de teletravail
Teletravail

L'audio conference
Le teletravail.

teletravail, echanges visio
Plus de teletravail, si les outils suivent

"augmenter le recours au teletravail : un format de 2 jours par semaine me parait tout a fait gerable, ce qui suppose aussi ue autre gestion du travail dans le service (lutter contre l'idee qu'etre chez soi = ne pas travailler)
favoriser une certaine autonomie dans l'organisation de son travail, notamment avec les outils a distance permettant de travailler de chez soi aux heures de pointe et venir au bureau ou pour des reunions au bureau ou dans d'autres emprises du ministere aux heures de journee, ce qui permet une gestion plus fluide des temps de transports particulierement chronophage et epuisants en region parisienne"

Audio-conference et tele travail quand le materiel sera a la hauteur
Le recours au teletravail est envisageable au plus 2 jours par semaine afin d'acceder aux outils specifiques et conserver les liens indispensables avec l'equipe de travail a fortiori pour un metier RH.
Un recours accru au teletravail et aux audio-conferences avec les partenaires pour limiter les deplacements.
periode de teletravail a  etendre

"?- lien avec les teletravailleurs
- progresser dans l'acquisition de materiels adaptes au travail a distance
- reflechir au bureau de demain"
TIXEO



Visioconference
"a) La preparation des reunions par le partage prealable de documents et de remarques
b) des reunions non presentielles, tout aussi efficaces, voire parfois plus efficaces que des reunions presentielles, car cela permet d'attenuer certains signaux non verbaux nuisibles et autres ""parasitages"""
Teletravail, audio conference
Possibilite de travail nomade pour certains agents
Travail a domicile


la pratique du teletravail pourra etre developpee davantage qu'elle ne l'est actuellement.





Audio-conferences, notamment en vue d'eviter des deplacements au chef-lieu de region
Audio conf et whatsapp

mon poste informatique intra

"methodologie de travail deja pratiquee avant confinement avec dematerialisation des dossiers
creation messagerie autre que ministere"
Le teletravail
"Sous reserve de validation hierarchique, car ce n'est pas la culture de la direction.
Neanmoins :
- faciliter le travail a distance
- utilisation renforcee des plate-formes d'echanges"

dispositif de teletravail SMOBI
un  developpement plus important du teletravail qu'avant la crise o deja nous etions a plus de 1/3 des agents travaillant certains jours en teletravail.


visios car virus encore en ciruclaiton

"Le placement des agents en teletravail et en brigades presentes alternativement a l'ambassade a contraint certains services a adopter des methodes de travail plus collaboratives et certain agents a un plus grand partage d'informations qu'ils n'en avaient l'habitude auparavant.
Il est a esperer que tout ou partie de ces bonnes habitudes survivront a la crise actuelle."
Teletravail pour certains agents a maintenir mais un ou deux jours par semaine
"?+ de teletravail
  + de delegation (autonomie)
  - de reunions"

"Teletravail
visio skype"

"reunion audio
teletravail"
Teletravail certains jours de semaine si possible



"plusieurs groupes whatsapp identifies dans des fonctions differentes
audioconference avec certains de nos partenaires
plus de redondances dans le suivi des boites generiques de messagerie (passer de binomes a des quadrinomes)
synchronisation plus systematique des dossiers sur les itineo"
Teletravail


J'espere que notre ministere facilitera le teletravail en proposant des outils permettant au plus grand nombre d'acceder au reseau a distance. Neanmoins, le changement a conduire est surtout managerial. Il est necessaire que les differents echelons de la hierarchie integrent que l'on peut faire autant confiance a un agent qu'il soit en teletravail ou en presentiel. Un agent performant en presentiel le sera egalement a distance.
Teletravail

Le teletravail

La feuille d'info hebdo et l'organisation du travail a domicile,malgre l'absence de materiel professionnel informatique. On va compter sur le materiel personnel des agents pour qu'ils puissent se connecter sur la messagerie professionnelle



visioconference
le teletravail
"Visio-conferences
Teletravail"

Si la reglementation le permet, 1 jour de teletravail par semaine et plus de viso conference (plutot que des reunions en presentiel)
reunion de bureau melant agents presents et agents en teletravail

Favoriser le teletravail pour un gain de temps sur les transports et afin d'ameliorer la qualite de vie au travail
visio si necessaire

travail a distance pour une reprise progressive en fonction des transports en Ile de france
utilisation d'un RSE, outil de gestion des projets, teletravail plus repandu
"le reseau de smartphones (en plus utile sur le terrain pour un service de controle)
audioconference
teletravail qui a permis a certains de se revoir leur organisation
capacite d'investigations numeriques qui se sont developpees"

Conference telephonique, visioconference, outils collaboratifs.
"Un travail en mode projet ou task force
Une approche plus transversale des sujets traites"

travail a distance- reunion en semi presentiel
"Management a distance
Dematerialisation des procedures
Teletravail
Formation a distance et developpement de MOOC"
"Reunion dematerialisee 
Groupes de messagerie"
"teletravail
teleconference avec DRAC et adm centrale et autres partenaires tiers"

"Mise a dispo d'ordi portables aux cadres
Plateforme de partage de fichiers
Visioconf"


Visioconference
"?- Acceleration de la dematerialisation des procedures 
- Acceleration de la dematerialisation des instructions
- Acceleration du circuit de validation des decisions"
Teletravail
Travail a distance

Le teletravail est possible en partie
"audio et visio conferences
Intensification de la numerisation de documents
mise en place d'outils collaboratifs"
"Generalisation du teletravail, qui etait marginal (10 agents sur 250 avant la crise).
Utilisation des moyens d'audio et visioconference a developper encore plus."

"augmentation du teletravail
dematerialisation des procedures
reunions regionales en visio"
"Extension du teletravail.

Celui-ci preexistait deja, mais une idee (fausse) etait que les agents en teletravail etait peu derangeables chez eux. Le teletravail massif a permis de constater la grande disponibilite des agents, et par exemple, la facilite d'organiser des reunions dont une partie des participants etant en presenciel et une autre partie a distance."
Simplification des circuits de validation de decisions
Travail a distance
Teletravail

Visio-conference pour certaines reunions. Usage des reseaux sociaux dans le cadre de la politiqie des publics et de la valorisation des collections (le MAN est tres engage dans cette voie). Videos regulieres a destination de tous les personnels  afin de les rapprocher de l action de la direction, en complement du management de proximite.
Entretien tixeo ou autre mode de visio - echanges de mails.

un accord teletravail et deconnexion est en cours de negociation (c'etait prevu avant la pandemie). Les conditions du travail a distance actuellement ne seront pas comparables avec les dispositions prevues en termes de teletravail dans l'accord (quelques jours par an, pas plus de 2 d'affilee, impossible pour certains metiers erc etc). Le processus de dematerialisation de la chaine budgetaire etait en cours, il a pu bien avancer pendant le confinement, et globalement, objectif de renforcement de cette dans les autres domaines administratifs (contractuel)
La conservation de la messagerie individuelle professionnelle dedie reseau internet. le recours a la visio TIXEO- le maintien permanent des postes SMOBI deja deployes
"La DDT avait  30% de teletravailleurs
Ce ratio va augmenter"

tele-travail et tele-enseignement

Utilisation plus large de la visio, circulation du courrier
Les reunions en visio et les pratiques de conduite de reunion correspondantes

Faire beaucoup plus appel au teletravail

Pratique plus generalisee du teletravail sur certains secteurs si materiel adequat


Ouvrir la possibilite aux agents qui en avaient formule la demande anterieurement de teletravailler un jour / semaine, sous reserve que le dispositif puisse etre mis en place a l'echelle de l'etablissement


Approfondissement des methodes de management a distance et de simplification des process
la phase de de confinement tant progressive , c'est necessaire mais la phase d'appropriation des outils n'est pas terminee  et doit se poursuivre pour permettre de progresser dans le teletravail
L'usage d'une plateforme collaborative est indispensable, dans le cadre de la dematerialisation des procedures




"Teletravail
Management par objectifs
Gestion de projets"
Sous reserve d'etre mieux equipe, ouverture plus large au teletravail, mais aussi developpement des reunions en audioconference ou visioconference afin de minimiser les deplacements, importants dans une region aussi etendue que la region Grand-Est.
le teletravail

Teletravail lorsque nous disposerons des outils adaptes

teletravail

"visio
teletravail"

"generalisation de l'utilisation de l'instruction numerique et de questionnaires numeriques en ligne
utilisation de la visio-conference pour intensifier les relations avec les reseaux territoriaux
soutien au teletravail pour tous les agents et donc concentration des reunions presentielles sur des jours fixes
reduire la reunion physique aux besoins d'un travail en commun, 
pour les reunions de transmission d'informations, utilisation renforcee de la visio."

Poursuivre le teletravail pour certains agents, certains jours de la semaine pour travailler sur des dossiers de fond.

"Teletravail 2 jours par semaine
Visioconference
Espace collaboratif"
Audio-conferences - developpement du teletravail.
"?- Utilisation d'Osmose
- Perennisation de l'acces a la messagerie pro via Nomade2 pour chaque agent
- ..."


outils d'echange (Tchap), audio conference, augmentation du volume de teletravail




Reunions virtuelles  (SKYPE...)

"Etant chargee de l'animation d'un reseau territorial, mon activite se pretait bien au teletravail, que je pratiquais avant la crise une journee par semaine. je pense que sa generalisation est une necessite ne serait-ce que pour agir en amont sur les consequences nefastes des concentrations urbaines (pollution et bruit stress fatigue liee au temps de transport etc...)
Tout cela demande quelques prerequis: lutter contre le presenteisme mais a l'inverse limiter la duree de teletravail car on est vite isolee. A titre personnel, je peux faire 2 jours mais je me suis vite apercue que je perdais trop le contact avec le service, je suis revenue a une journee.
enfin je pense qu'il ne faut pas tirer de conclusion hative de ce nous vivons actuellement. ce n'est pas la meme chose de faire du teletravail lorsque beaucoup y sont contraints, ce qui oblige l'ensemble de la structure a adapter son mode de fonctionnement collectif, et d'exercer dans une situation de ""minorite"", j'en juge par experience"

travail a distance
Accroissement du teletravail.

TAD - Teletravail, pratiques de management
Le teletravail. Plusieurs agents de mon bureau, qui ne beneficiaient pas encore d'une autorisation de teletravail avant la mi-mars, m'ont d'ailleurs indique qu'ils feraient une demande pour etre en teletravail un ou deux jours par semaine.

Developpement du teletravail en fonction des dossiers et des situations individuelles des agents
Les bilans hebdomadaires partages, les reunions d'equipe en visio, l'encouragement au teletravail
L'usage de la visio conference, le teletravail dans certains cas et pour certains agents
"espaces collaboratifs pour des projets
espaces collaboratifs de travail"

"Audio et visioconference
Framateam pour l'animation des projets collaboratifs"

"Le teletravail sera sans doute renforce (demande des agents et productivite plus importante).
L'organisation de reunions d'equipes (voire peut-etre de structures) plus axee sur des projets."
"un travail en equipe plus riche avec beaucoup de solidarite
des reunions d'equipes plus courtes mais plus frequentes qu'auparavant"

peut-etre le maintient pour le service de jours en travail deporte


"teletravail pour la quasi totalite des agents, en dehors du temps consacre au controle, a condition que les equipements soient largement distribues (portable et telephone et cles 4G) et acces numeriques soient plus performants-
reunion telephoniques en audio, idem pour les conditions d'equipement et d'acces numerique"


teletravail partiel

Consultation messagerie a distance et acces aux reseaux a distance via NoeMI

Le recours plus frequent au teletravail
Teletravail alterne par du travail en presence
pour certains agents en teletravail et en travail a distance : maintien de l'organisation en non presentiel

"Une reflexion est encours au sein de la DD.
Preparation documentaire des controles 
L'accueil telephonique des administres
Suivi des prophylaxies sanitaires et communication avec les OVS"

le teletravail dans des conditions ameliorees
developper le teletravail, mais avec un equipement adapte. Maintenir l'utilisation de visio conferences en lieu et place d'appels telephoniques
Frequence accrue du teletravail.

Audio conference et teletravail
Travail a distance en cas de difficultes (greves, problemes de transport)
developpement du teletravail et des conferences en visio- utilisation des espaces collaboratifs






?- disposer de temps, en fonction de l'activite du service, pour travailler hors les murs (forte surpopulation de cadre par bureau physique = 3 au lieu de 2) pour travailler des dossiers au fond (meilleure concentration = efficacite renforcee)

utilisation de la visio conference pour des points avec Paris.

"Des reunions en audio ou visioconference -si des solutions gratuites, performantes et ergonomiques sont proposees par le ministere de la culture ce sera nettement mieux !
Je compte, avec mon adjointe, poursuivre une bonne partie de mon activite en teletravail, comme d'ailleurs, je le faisais avant l'epidemie (et meme plus). En effet, pour de nombreuses taches, travailler au bureau aux Archives nationales impose d'utiliser un smartphone personnel pour se connecter a Internet afin de contourner les interdictions d'acces aux outils techniques que nous employons tous les jours : Dropbox, GoogleDrive, GitHub (developpement collaboratif), acces SSH a differents serveurs distants...."

"VISIOCONFERENEC
CONCALL"
Developpement du teletravail sous reserve de la mise en place accompagnee des outils du numeriques.
part plus importante du temps en teletravail
utilisation plus generalisee du teletravail en complement des pratiques deja habituelles

conf call, teletravail massif
"Reseaux sociaux et usage plus frequent des visios en lieu et place de reunions qui imposaient des deplacements
Reorganisation des espaces partages sur le serveur"
"l'utilisation des outils, en particulier des outils de visio conference
Les reunions de coordination avec les services deconcentres"

"Des reunions en visio-conference pour eviter de trop frequents deplacements, l'utilisation des outils collaboratifs pour partager des documents (a condition de pouvoir les utiliser egalement depuis les postes sur reseau culture)
Une approche differente du teletravail avec une implication plus grande des encadrants dans le suivi."
"Reunion audio 

Reunion courtes mais operationnelles plus frequentes"
"Le teletravail ""ponctuel"" (ou improvise) en fonction de l'actualite (dossier necessitant un isolement, greve des transports, souci materiel personnel) est sans aucun doute a favoriser."
"Ce sont quand meme des outils qu'on utilisait avant (visio et reseaux Tchap).
En revanche une politique incitative au developpement du teletravail avec des budgets dedies pour multiplier les postes doit etre envisagee."





Usage des outils collaboratifs (PLANO) et d'une visioconference performante (inexistante depuis nos postes de travail actuellement)
oui les plates-formes d'echanges de documents et dossiers ( OSMOSE ou OCMI)

"utilisation renforcee de la plateforme collaborative PLANO
recours, dans certains cas, a des ""seminaires virtuels"", en ligne"

Necessite de respecter les distanciations sociales. Ces pratiques vont etre difficilement tenables sur le long terme faute d'outils plus ergonomiques (ordinateurs pros portables plus agreables que les SPAN) et de SI dedies (webconferences faciles, gestion electronique de documentation, etc.)
"Maintien de dispositifs souples de teletravail
Augmentation des visio conferences afin de limiter les pertes de temps en deplacements
Recours aux espaces partages accru pour limiter l'usage de la messagerie et garantir une information a jour."

Le recours au teletravail est tres ininteressant et tres efficace.
"?- une utilisation plus frequente des visios
- la poursuite des tests pour trouver le ou les outils collaboratifs correspondant a nos besoins metier (tests en cours sur PLANO, OSMOSE, Onlyoffice..)
- une expression de besoin metier pour des acces a distance aux outils de travail est en cours"

"Le teletravail massif a paradoxalement renforce la logique de ""task forces"" internes et le decloisonnement. Il faudra donc que nous ayons une reflexion interne sur ces modes de fonctionnement moins hierarchiques, que nous avions deja developpes dans une approche de gestion de projets."
Audioconference
Audioconference

tele-reunions par audio ou visio
Outils collaboratifs
"le teletravail a prouve sa realite et son efficacite.
la confiance dans les agents a ete demontree.
sans devenir une norme le teletravail pourra etre etendu a des agents qui n'en faisaient pas usage"
"Le teletravail etait deploye avec succes en DDT84 a raison de 35 agents sur 180 avant le confinement, a raison d'un jour par semaine, exceptionnellement deux jours, voire trois (sur recommandation du medecin de prevention).
Le teletravail peut desormais etre deploye a plus grande echelle sous reserve de solution VPN ou equivalent. Le travail de dematerialisation de certaines procedures sera amplifie, les demarches APPO doivent permettre d'optimiser les procedures en prenant en compte le renforcement du teletravail.
Les managers et les equipes se sont bien adaptees au teletravail massif. Il est necessaire de faire un retour d'experiences pour identifier les points forts, les actions a mettre en oeuvre pour consolider ces modes de travail et orienter encore plus efficacement les actions de management tant dans le management des teletravailleurs que dans le temps dedie au management quand les personnels sont sur site.
Les outils de visio et d'audio-conference offrent des perspectives tres interessantes (gain de temps en limitant les deplacements, limitation des risques pour l'agent en reduisant les deplacements, gain sur le plan du budget en limitant les charges liees aux VL par exemple...). Neanmoins, necessite de securiser les outils et de permettre d'accueillir des agents d'autres ministeres et des partenaires externes. Necessite egalement de developper les formations de type ""comment mener efficacement une audio-conf ?""."

"Il y aura sans doute des demandes massives de teletravail avec la perspective d'une actualisation de la Charte teletravail de la structure.
Accompagnement des agents sur un usage plus important et mieux partage de Resana.
Augmentation du nombre de reunions realisees en audio ou video-conferences."


"Teletravail en cours de deploiement avant episode Covid-19. Pour le moment, entre 30 et 60% des agents du siege ont manifeste un interet pour poursuivre cette nouvelle forme de travail.
Pour le deconfinement, maintient audio notamment."
teletravail, horaires decales

"Visio-conferences - 
Responsabilisation plus forte de l'encadrement de proximite"

