11. Messagerie du ministere;12. Messagerie autre (ex: gmail);13. Messagerie instantanee interministerielle (Tchap);14. Messagerie instantanee autre (ex: WhatsApp);15. Visio-conference du ministere;16. Viso-conference interministeriel (WebConf);17. Visio-conference autre (ex: Skype);18. Outils collaboratifs du ministere;19. Outils collaboratifs interministeriels (OSMOSE, PLANO, RESAN;20. Outils collaboratifs autres;21. Audio-conference telephonique
Tres utile;Tres utile;Non utilise;Utile;Non utilise;Non utilise;Non utilise;Utile;Non utilise;Non utilise;Utile
Tres utile;Non utilise;Utile;Non utilise;Utile;Non utilise;Utile;Utile;Utile;Non utilise;Tres utile
Tres utile;Non utilise;Non utilise;Non utilise;Utile;Tres utile;Tres utile;Utile;Non utilise;Non utilise;Utile
Utile;Non utilise;Pas utile;Pas utile;Utile;Non utilise;Non utilise;Non utilise;Non utilise;Inconnu;Utile
Tres utile;Utile;Non utilise;Utile;Utile;Non utilise;Utile;Non utilise;Non utilise;Non utilise;Pas utile
Tres utile;Pas utile;Non utilise;Non utilise;Tres utile;Non utilise;Non utilise;Utile;Non utilise;Non utilise;Tres utile
Tres utile;Non utilise;Non utilise;Non utilise;Utile;Non utilise;Non utilise;Non utilise;Non utilise;Non utilise;Utile
Tres utile;Non utilise;Tres utile;Non utilise;Utile;Utile;Non utilise;Utile;Utile;Non utilise;Non utilise
Tres utile;Non utilise;Tres utile;Non utilise;Tres utile;Non utilise;Non utilise;Non utilise;Non utilise;Non utilise;Non utilise
Tres utile;Non utilise;Non utilise;Non utilise;Non utilise;Non utilise;Non utilise;Non utilise;Inconnu;Non utilise;Non utilise
Tres utile;Utile;Non utilise;Non utilise;Pas utile;Pas utile;Tres utile;Utile;Pas utile;Non utilise;Tres utile
Tres utile;Non utilise;Non utilise;Tres utile;Non utilise;Non utilise;Tres utile;Inconnu;Inconnu;Inconnu;Tres utile
Tres utile;Non utilise;Tres utile;Tres utile;Tres utile;Non utilise;Tres utile;Non utilise;Non utilise;Utile;Tres utile
Tres utile;Utile;Non utilise;Tres utile;Tres utile;Non utilise;Non utilise;Non utilise;Non utilise;Inconnu;Utile
Tres utile;Non utilise;Non utilise;Utile;Non utilise;Non utilise;Non utilise;Non utilise;Inconnu;Non utilise;Non utilise
Tres utile;Non utilise;Non utilise;Tres utile;Utile;Utile;Tres utile;Inconnu;Non utilise;Utile;Tres utile
Tres utile;Non utilise;Non utilise;Tres utile;Tres utile;Non utilise;Non utilise;Non utilise;Non utilise;Non utilise;Tres utile
Tres utile;Utile;Utile;Non utilise;Utile;Tres utile;Utile;Non utilise;Utile;Utile;Tres utile
Tres utile;Non utilise;Non utilise;Non utilise;Non utilise;Non utilise;Non utilise;Non utilise;Non utilise;Non utilise;Tres utile
Tres utile;Non utilise;Non utilise;Non utilise;Tres utile;Non utilise;Tres utile;Tres utile;Non utilise;Non utilise;Tres utile
Tres utile;Utile;Non utilise;Pas utile;Non utilise;Inconnu;Inconnu;Utile;Inconnu;Inconnu;Tres utile
Tres utile;Non utilise;Non utilise;Non utilise;Non utilise;Utile;Non utilise;Non utilise;Non utilise;Non utilise;Tres utile
Tres utile;Non utilise;Non utilise;Non utilise;Tres utile;Non utilise;Tres utile;Non utilise;Non utilise;Non utilise;Tres utile
Tres utile;Non utilise;Inconnu;Inconnu;Non utilise;Utile;Tres utile;Inconnu;Inconnu;Utile;Tres utile
Tres utile;Non utilise;Non utilise;Non utilise;Tres utile;Non utilise;Non utilise;Non utilise;Inconnu;Non utilise;Utile
Tres utile;Non utilise;Utile;Utile;Utile;Tres utile;Non utilise;Utile;Utile;Non utilise;Tres utile
Non utilise;Non utilise;Non utilise;Non utilise;Non utilise;Non utilise;Non utilise;Non utilise;Non utilise;Non utilise;Tres utile
Tres utile;Non utilise;Pas utile;Pas utile;Pas utile;Pas utile;Tres utile;Inconnu;Non utilise;Non utilise;Tres utile
Tres utile;Non utilise;Non utilise;Non utilise;Non utilise;Non utilise;Non utilise;Non utilise;Non utilise;Non utilise;Tres utile
Tres utile;Non utilise;Non utilise;Non utilise;Non utilise;Tres utile;Non utilise;Non utilise;Tres utile;Tres utile;Tres utile
Tres utile;Non utilise;Non utilise;Non utilise;Non utilise;Utile;Non utilise;Utile;Inconnu;Non utilise;Tres utile
Tres utile;Non utilise;Non utilise;Tres utile;Pas utile;Pas utile;Tres utile;Pas utile;Utile;Non utilise;Utile
Tres utile;Non utilise;Utile;Non utilise;Inconnu;Non utilise;Utile;Inconnu;Non utilise;Non utilise;Tres utile
Tres utile;Non utilise;Utile;Utile;Pas utile;Pas utile;Pas utile;Utile;Inconnu;Inconnu;Tres utile
Tres utile;Non utilise;Non utilise;Tres utile;Tres utile;Non utilise;Non utilise;Inconnu;Inconnu;Non utilise;Tres utile
Tres utile;Non utilise;Non utilise;Tres utile;Tres utile;Tres utile;Tres utile;Utile;Utile;Non utilise;Utile
